,Brand,Model,Price,Location,Engine,Model Year,Fuel Type
39,Royal,Royal Enfield Interceptor 650cc BS6 ,"2,90,000",bangalore, 650cc,2021,petrol
40,Kawasaki,Kawasaki Ninja 300cc ,"2,25,000",bangalore, 300cc,2017,petrol
41,Kawasaki,Kawasaki Vulcan S 650cc ,"5,05,000",mumbai, 650cc,2018,petrol
42,Royal,Royal Enfield Interceptor Chrome ,"2,71,000",mumbai,,2019,petrol
43,Royal,Royal Enfield Interceptor 650cc ,"2,60,000",mumbai, 650cc,2019,petrol
44,BMW,BMW G 310 R ,"3,38,000",bangalore, 310 R,2022,petrol
45,Royal,Royal Enfield Interceptor Chrome BS6 ,"2,99,415",bangalore,,2021,petrol
46,Royal,Royal Enfield Interceptor 650cc ,"2,75,600",bangalore, 650cc,2019,petrol
47,Royal,Royal Enfield Interceptor 650cc ,"2,84,500",bangalore, 650cc,2019,petrol
48,Royal,Royal Enfield Interceptor 650cc ,"2,77,200",bangalore, 650cc,2019,petrol
49,Royal,Royal Enfield Interceptor 650cc BS6 ,"3,32,800",bangalore, 650cc,2021,petrol
50,Royal,Royal Enfield Interceptor 650cc ,"2,43,360",bangalore, 650cc,2019,petrol
51,Royal,Royal Enfield Interceptor 650cc ,"2,83,500",bangalore, 650cc,2019,petrol
52,Kawasaki,Kawasaki Ninja 300cc ,"2,53,760",bangalore, 300cc,2017,petrol
53,Royal,Royal Enfield Interceptor 650cc ,"3,10,000",hyderabad, 650cc,2019,petrol
54,BenelliImperiale,BenelliImperiale 400 BS6 ,"1,88,000",hyderabad, 400,2020,petrol
55,Regal,Regal Raptor Daytona 350 ,"2,23,000",hyderabad, 350,2017,petrol
56,Harley-Davidson,Harley-Davidson 1200 Custom ,"10,23,750",bangalore, 120,2020,petrol
57,Benelli,Benelli TNT 300 ABS ,"3,22,400",mumbai, 300 ABS,2019,petrol
58,Royal,Royal Enfield Interceptor 650cc ,"2,49,600",mumbai, 650cc,2019,petrol
59,BMW,BMW G 310 R BS6 ,"3,01,600",mumbai, 310 R,2021,petrol
60,Royal,Royal Enfield Interceptor 650cc ,"2,73,520",bangalore, 650cc,2020,petrol
61,Royal,Royal Enfield Continental GT 650cc BS6 ,"3,46,320",bangalore, 650cc,2021,petrol
62,Royal,Royal Enfield Interceptor 650cc ,"3,01,600",mumbai, 650cc,2019,petrol
63,Royal,Royal Enfield Continental GT 650cc ,"3,22,400",mumbai, 650cc,2020,petrol
64,Royal,Royal Enfield Interceptor 650cc BS6 ,"3,22,400",mumbai, 650cc,2021,petrol
65,Royal,Royal Enfield Interceptor 650cc ,"3,12,000",mumbai, 650cc,2020,petrol
66,Kawasaki,Kawasaki Ninja 300 ,"3,90,000",mumbai, 300,2022,petrol
67,Kawasaki,Kawasaki Z650 ,"4,94,000",mumbai,,2019,petrol
68,Kawasaki,Kawasaki Z900 ,"7,59,200",mumbai,,2017,petrol
69,Royal,Royal Enfield Interceptor 650cc BS6 ,"3,40,000",bangalore, 650cc,2021,petrol
70,Benelli,Benelli 302R 300CC ,"2,34,000",bangalore, 302,2018,petrol
71,Harley-Davidson,Harley-Davidson Sportster 883 ,"5,55,000",bangalore, 883,2016,petrol
72,Royal,Royal Enfield Interceptor 650cc ,"2,75,000",bangalore, 650cc,2020,petrol
73,Royal,Royal Enfield Interceptor 650cc ,"2,39,200",bangalore, 650cc,2019,petrol
74,Royal,Royal Enfield Interceptor 650cc ,"2,73,000",bangalore, 650cc,2020,petrol
75,Harley-Davidson,Harley-Davidson XG750 750cc ,"3,07,000",bangalore, 750cc,2016,petrol
76,Hyosung,Hyosung Aquila GV250 ,"1,00,000",mumbai,,2014,petrol
77,Triumph,Triumph Daytona 675 ABS ,"8,37,400",mumbai, 675 ABS,2016,petrol
78,Ducati,Ducati Scrambler Classic ,"5,24,700",mumbai,,2015,petrol
79,Kawasaki,Kawasaki Versys 650cc ,"6,09,500",mumbai, 650cc,2016,petrol
80,Triumph,Triumph Street Triple S ,"8,21,500",mumbai,,2017,petrol
81,Triumph,Triumph Bonneville T100 865cc ,"3,97,500",mumbai, 865cc,2014,petrol
82,Ducati,Ducati Panigale 959 ,"11,66,000",mumbai, 959,2016,petrol
83,Kawasaki,Kawasaki Z1000 ,"8,69,200",mumbai,,2014,petrol
84,Triumph,Triumph Bonneville T120 ,"7,52,600",mumbai,,2016,petrol
85,Kawasaki,Kawasaki Ninja ZX-10R ,"13,67,400",mumbai,,2017,petrol
86,Royal,Royal Enfield Interceptor 650cc ,"3,04,500",mumbai, 650cc,2019,petrol
87,BMW,BMW G 310 R ,"2,36,250",mumbai, 310 R,2019,petrol
88,Kawasaki,Kawasaki Z900 ,"10,50,000",mumbai,,2020,petrol
89,Kawasaki,Kawasaki Z650 ,"3,93,750",mumbai,,2018,petrol
90,Kawasaki,Kawasaki Z800 ,"6,36,000",mumbai,,2016,petrol
91,Harley-Davidson,Harley-Davidson 1200 Custom ,"6,89,000",mumbai, 120,2016,petrol
92,Triumph,Triumph Bonneville T100 900cc ,"6,89,000",mumbai, 900cc,2017,petrol
93,BMW,BMW F850 GS 850cc ,"14,57,500",mumbai, 850cc,2019,petrol
94,BMW,BMW R 1200 GS ,"16,43,000",mumbai, 1200 GS,2018,petrol
95,Kawasaki,Kawasaki Versys 650cc ,"5,83,000",mumbai, 650cc,2016,petrol
96,Ducati,Ducati Scrambler Classic ,"5,30,000",mumbai,,2017,petrol
97,Ducati,Ducati Multistrada 950 ,"8,42,700",mumbai, 950,2017,petrol
98,Suzuki,Suzuki GSX-S 1000F ,"7,15,500",mumbai, 100,2015,petrol
99,Harley-Davidson,Harley-Davidson 1200 Custom ,"7,15,500",mumbai, 120,2018,petrol
100,Ducati,Ducati Diavel Carbon ,"9,69,900",mumbai,,2016,petrol
101,Triumph,Triumph Street Scrambler 900cc ,"7,84,400",mumbai, 900cc,2019,petrol
102,Triumph,Triumph Bonneville T100 900cc ,"5,03,500",mumbai, 900cc,2015,petrol
103,Kawasaki,Kawasaki Versys 1000 ,"7,95,000",mumbai, 100,2017,petrol
104,Kawasaki,Kawasaki Z800 ,"6,20,100",mumbai,,2015,petrol
105,Honda,Honda CB 1000R ,"4,77,000",mumbai, 100,2010,petrol
106,Ducati,Ducati Diavel 1200cc ,"8,48,000",mumbai, 1200cc,2015,petrol
107,Triumph,Triumph Street Triple 765 ,"8,74,500",mumbai, 765,2018,petrol
108,Kawasaki,Kawasaki Ninja 1000 ,"8,74,500",mumbai, 100,2019,petrol
109,Harley-Davidson,Harley-Davidson Fat Boy ,"8,26,800",mumbai,,2015,petrol
110,Triumph,Triumph Tiger Explorer ,"9,27,500",mumbai,,2015,petrol
111,Kawasaki,Kawasaki Z1000 ,"8,48,000",mumbai,,2014,petrol
112,Kawasaki,Kawasaki Z900 ,"7,57,900",mumbai,,2018,petrol
113,Honda,Honda CBR1000RR Fireblade ,"13,25,000",mumbai,,2017,petrol
114,Yamaha,Yamaha YZF-R1 1000cc ,"18,76,200",mumbai, 1000cc,2015,petrol
115,BMW,BMW S 1000 RR ,"18,28,500",mumbai, 1000 R,2018,petrol
116,Kawasaki,Kawasaki Ninja ZX-10RR ,"15,63,500",mumbai,,2018,petrol
117,Triumph,Triumph Daytona 675 ABS ,"9,48,700",mumbai, 675 ABS,2016,petrol
118,Honda,Honda CBR1000RR Fireblade ,"19,02,700",mumbai,,2017,petrol
119,Harley-Davidson,Harley-Davidson Fat Boy ,"10,86,500",mumbai,,2016,petrol
120,Kawasaki,Kawasaki Z900 ,"7,56,000",mumbai,,2019,petrol
121,Suzuki,Suzuki GSX-R 1000cc ,"10,76,250",mumbai, 1000cc,2015,petrol
122,BMW,BMW F750 GS 850cc ,"13,02,000",mumbai, 850cc,2020,petrol
123,BMW,BMW F750 GS 850cc ,"11,39,250",mumbai, 850cc,2020,petrol
124,Kawasaki,Kawasaki Z800 ,"6,56,250",mumbai,,2016,petrol
125,Ducati,Ducati Scrambler Urban Enduro ,"6,03,750",mumbai,,2017,petrol
126,Kawasaki,Kawasaki Ninja 400 ,"4,46,250",mumbai, 400,2019,petrol
127,Triumph,Triumph Street Triple 765 ,"8,66,250",mumbai, 765,2018,petrol
128,Triumph,Triumph Speed Triple 1050cc ,"5,19,750",mumbai, 1050cc,2017,petrol
129,Kawasaki,Kawasaki Z800 ,"6,56,250",mumbai,,2016,petrol
130,Kawasaki,Kawasaki Z800 ,"6,14,250",mumbai,,2015,petrol
